"record_id","disagreement","group_id","family"
"cu_phase2-04d5f37a4f547e05",3.92044638527444e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-052d92aa669dbfbd",4.19839380265721e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-08dba8cd1d8a6b74",3.81086316925745e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-0c80c5086d4c57c9",4.7657580053613e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-0e8a483379e04977",4.74756096367311e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-0ec4ec8beb9c30d5",3.87612885510187e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-12d4d255371b703d",3.39008197185137e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-15f9116d090bf616",4.30075072023891e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-1766c871bf661014",4.1534791143411e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-1aaf29be254fc3f1",4.92937112241875e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-2585277e26a597f2",3.50984420524924e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-28cfaaa20fc65768",4.69792595959935e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-2c5595ace7854bd3",4.29323269460628e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-2e95b3c9875f19bd",5.26419146207621e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-2e9a27a64799198d",4.17614088498039e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-2efd51a12d6a76c6",4.44880897937976e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-3684addaf3256925",2.80682707635971e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-3bd8029a627bd026",4.27698466285251e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-3c98b918f5983fcd",3.50881070640582e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-4160129e1570c018",4.77941305668655e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-437365c97628b524",3.47917642788606e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-46a288cc84173847",4.25486891063884e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-4c5a9af9abbc3ee6",4.2976090374231e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-4c8c6cd523ec6f3f",5.77640792632143e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-4f0a41002fb5b805",4.39029961609575e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-50a688cd6f47b2dd",4.14298687242738e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-596bac7942b4a38d",4.03961332851874e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-598ded6e23842c13",3.16318455304036e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-59f012ee48ea1425",3.89925339838329e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-5f332d1752273ed3",4.17159734778011e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-606c0d6d9acfe37a",4.21145774037479e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-60fafcaaceab1dcd",4.42054394641214e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-60fe7520c48fa33c",4.13435435713361e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-686a258c7f677cd4",4.33452308014454e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-6a86f4d57a847686",4.19825804880788e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-6abbd1b121714c1f",4.33288233761675e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-6b8d9eb663757fbf",5.44756501402585e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-6cb1b949bbe3363f",4.20525054994033e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-70733061f0dc0e49",4.44422799894985e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-73bbcbee3a024ba9",3.45312530175908e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-7427e6d70d8ecfa4",4.14311896948447e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-75d2f6a470646a13",4.37326272198378e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-7749e0fce3d7fdef",4.25000130325747e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-7c9f6aa656101ded",4.26110820969093e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-7d2d5d36462bd007",5.67583729198562e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-7ed35b5935836a57",4.12626853936341e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-801e026615c238d4",4.17008193984835e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-8997778730d07596",2.86965666711355e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-8a6cc0d9784a14af",3.1849670947823e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-8ec6f31cae6ecb8c",4.23427280693126e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-8eda234d424cf951",4.23646622966017e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-912fb535d137eadd",4.29312114268946e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-913dcf70a4481879",4.39055600382457e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-93aa15b347c663ba",3.43123521880231e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-93adf8556aebaccb",4.45303400083318e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-945921dddf05d00e",4.48172526451589e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-9690a8be503eb242",4.27875549797446e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-99767b16aae833b3",4.17350358073732e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-9bce42fea0ff434b",4.24321589457718e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-a28dec0b0d375eb5",4.9158309692124e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-a818b96bea84d189",3.52081793215869e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-b279a9fdd708ef79",4.87101558884308e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-b47a9ae7c126b8dc",3.47315487698413e-07,"elastic_mode_2","Elastic
(n=80)"
